Year,Month,Day,Year-Month-Day,minWindSpeed,maxWindSpeed,minDNorth,maxDNorth,minDEast,maxDEast,minAirTemperature,maxAirTemperature,minRelativeHumidity,maxRelativeHumidity,minLog(ParticleConcentration + 1),maxLog(ParticleConcentration + 1)
2006,10,1,01/10/2006,0.1973334,4.937666,0.03553811,179.9889,3.4181,179.63321,23.24449,30.76261,49.99495,90.55474,0,1.897627091
2006,10,10,10/10/2006,0.276,4.700667,1.7268,178.8647,0.1065,172.76772,25.99404,38.0552,27.14588,81.30442,0,1.896526217
2006,10,11,11/10/2006,0.2246666,4.151999,0.3254,179.659,0.0229,174.51731,24.50299,39.71504,18.78751,77.70913,1.369215857,2.125481266
2006,10,12,12/10/2006,0.2866666,5.225334,3.346076,179.7354,0.6692,179.55054,23.63394,37.42974,29.46023,84.22615,1.117271296,1.788168371
2006,10,13,13/10/2006,0.4023333,5.172333,0.815,179.0217,0.321,156.5858,24.95716,36.13156,34.2431,76.52341,0.255272505,1.912753304
2006,10,14,14/10/2006,0.1293333,3.866667,0.2333075,179.7671,0.0948,179.83047,24.81501,37.16244,24.03873,80.54172,1.474216264,2.135132651
2006,10,15,15/10/2006,0.245,3.697334,2.488879,179.8774,0.2664,179.14204,23.51205,38.84885,14.84871,89.97462,0.491361694,1.80685803
2006,10,16,16/10/2006,0.197,3.567333,0.2159738,179.6,1.6471,174.90008,23.20033,38.76155,23.00032,76.62316,1.387389826,2.009025742
2006,10,17,17/10/2006,0.196,4.914666,2.3809,178.9517,0.5131,174.8934,25.48402,38.73703,26.37771,77.76063,1.774516966,2.215108581
2006,10,18,18/10/2006,0.3216667,5.953334,1.12356,179.4046,0.1199,175.87181,26.31308,39.94129,20.54417,70.63975,1.63447727,2.249198357
2006,10,19,19/10/2006,0.219,6.374,2.918,177.8747,1.522,179.46728,26.84782,35.32259,37.70663,66.51485,1.193124598,2.011993115
2006,10,2,02/10/2006,0.2766666,35.14033,20.62193,179.0059,3.1144,175.9445,24.23977,33.05229,46.80248,91.16856,0.041392685,1.626340367
2006,10,20,20/10/2006,0.202,4.869333,0.4024,179.565,0.5377,178.79804,24.83134,38.13064,24.29881,70.47511,0.875061263,2.731749884
2006,10,21,21/10/2006,0.1856667,4.209,0.6895,179.1031,0.001,179.1711,25.40613,39.56126,13.7031,69.18008,0.380211242,2.266231697
2006,10,22,22/10/2006,0.7653333,5.159334,0.7753896,179.7274,0.4198,177.69987,23.79914,39.71668,17.03242,77.48233,0.908485019,2.191451014
