Year,Month,Day,minWindSpeed,maxWindSpeed,minWindDirection,maxWindDirection,minAirTemperature,maxAirTemperature,minRelativeHumidity,maxRelativeHumidity,minParticlesConcentration,maxParticlesConcentration
2006,10,1,0.197333,4.937666,0.03553811,359.7661,23.24449,30.76261,49.99495,90.55474,0,78
2006,10,10,0.276,4.700667,1.801663,358.2732,25.99404,38.0552,27.14588,81.30442,0,77.8
2006,10,31,0.134333,3.603,2.178498,356.7388,19.15561,37.454,10.63849,45.15255,0,278.1
2006,11,14,0.207,6.272334,0.4016027,354.2664,20.66736,35.05749,11.32957,37.71991,0,415.7
2006,11,29,0.223667,6.721666,0.9975375,357.3268,18.20934,32.52884,10.23108,27.40182,0,168.8
2006,1,16,0.386,6.476667,0.03144046,359.4309,17.0997,35.3345,10.54518,31.45876,0,172.8
2006,1,18,0.181333,4.586666,0.4332351,359.4974,21.07258,35.76826,15.03857,43.42519,0,731.2
2006,1,20,0.613333,6.669666,0.3821431,359.9917,19.83886,35.7239,10.78531,23.89572,0,426.3
2006,12,16,0.161333,4.872334,0.5278441,355.1402,17.34136,33.31664,8.312683,21.06004,0,455.9
2006,1,27,0.193,7.481667,7.265585,357.0901,20.13709,35.80682,8.171962,23.34204,0,337.7
2006,1,5,0.125333,5.044,0.07936411,359.4201,16.54689,34.17002,8.56996,18.5982,0,96.9
2006,2,20,0.136,4.864666,0.9965206,358.9656,20.94504,36.3108,12.16937,30.94513,0,138.1
2006,3,14,0.251667,5.974667,0.2895062,359.6664,23.76785,39.51312,4.180508,10.23139,0,681.6
2006,3,24,0.165,6.595333,1.580744,359.9129,25.61039,41.49089,4.216476,11.5719,0,198.9
2006,4,11,0.356667,10.614,3.529199,330.7309,27.35739,41.27493,3.07021,6.716733,0,1831.1
2006,5,11,1.409667,8.495334,168.5676,292.168,28.10367,39.70222,15.20198,54.1288,0,485.1
2006,5,12,0.239333,6.992667,0.5992824,358.2473,28.7385,42.3284,14.83767,58.05951,0,613.4
2006,5,16,0.499,7.932666,6.272554,355.2125,29.49394,39.12103,21.11428,52.38428,0,746.4
2006,5,19,0.321667,9.771999,26.60953,356.3779,28.94653,39.7384,17.7957,43.6294,0,5255.6
2006,5,3,0.340667,7.675333,10.60813,357.1621,24.19607,43.99583,8.497614,37.07883,0,1186.7
2006,7,24,0.060667,4.303,4.631313,351.7465,24.9542,36.14759,32.82573,91.54681,0,88.6
2006,7,25,1.437,10.29033,145.9944,263.6749,21.56903,29.50666,55.74174,95.5167,0,300.3
2006,8,10,0.094,3.659667,6.374378,351.7073,24.4133,35.19012,40.69604,91.52885,0,59.7
2006,8,11,0.480667,11.168,78.2113,354.5441,21.14137,31.33664,50.46671,97.00754,0,192.5
2006,8,12,0.337333,3.456334,1.263601,350.2981,24.33831,29.96545,61.15633,87.93031,0,41.9
2006,8,23,0.771,6.071666,94.47015,257.7234,22.17999,29.23306,67.6055,93.41452,0,85.1
2006,8,24,0.137,7.737333,48.8344,284.8573,22.91421,33.102,48.90342,91.61961,0,81.9
2006,8,26,1.199667,7.824,16.38836,358.2602,24.0994,33.39305,49.60188,89.86706,0,116.1
2006,8,27,1.568667,5.165333,191.1381,272.4174,22.457,32.83582,48.55849,91.40756,0,44.7
2006,8,28,0.433667,12.056,68.15961,352.0672,20.49688,30.2793,51.72978,93.55099,0,240.1
2006,8,31,0.109,9.735333,1.78114,359.7358,21.37738,29.60169,63.4339,92.21917,0,66.6
2006,8,5,1.847667,5.366667,178.9045,280.3414,23.96733,32.55789,45.0361,90.26486,0,40.3
2006,8,8,0.1,6.416666,11.08062,296.4294,24.10505,28.99079,67.28673,92.37547,0,26.2
2006,8,9,0.236,5.418333,98.76505,308.9405,21.72119,31.38751,54.71911,92.23327,0,67.2
2006,9,15,0.987,34.507,180.5611,333.9087,23.89758,35.63614,34.25282,88.41845,0,129
2006,9,21,0.432,7.459667,72.18765,303.3777,22.61405,31.50982,44.88659,84.24451,0,56.3
2006,9,7,1.958667,5.586,166.7392,318.542,25.7533,36.73962,29.34429,80.34789,0,410.2
2007,10,1,0.287333,4.270334,1.211284,356.5661,23.4832,38.98458,14.96068,69.57956,0,173.5
2007,10,15,0.143,4.135,6.043896,357.9669,22.76606,38.82514,12.60929,67.91019,0,437.3
2007,10,18,0.194,4.712,4.654418,358.2381,22.8179,38.49496,12.18789,49.48237,0,281.8
2007,10,25,0.131667,4.735,1.559456,353.6809,23.36639,38.38532,13.16199,63.88329,0,110.2
2007,11,1,0.173667,6.746999,4.003559,357.3749,21.97643,38.97492,7.623172,39.43439,0,213.7
2007,11,15,0.077333,3.497333,0.4341674,354.334,21.8323,37.90598,12.43957,41.54347,0,635.3
2007,11,22,0.183333,7.184667,0.3683665,359.3351,22.0501,36.98377,8.896221,28.35355,0,204.5
2007,11,26,0.168,6.065,0.7377632,359.9129,18.8203,35.61787,8.364017,29.09358,0,163.4
2007,11,5,0.112,4.388334,0.8732629,358.4588,18.40612,38.29212,7.392251,42.28045,0,274.8
2007,1,15,1.4,9.767,52.82727,107.1983,13.4284,27.73503,11.65543,32.6122,0,1556226.1
2007,12,17,0.184,5.719,0.6804657,359.875,18.68532,35.82864,9.825556,28.8829,0,121.2
2007,12,21,0.235,8.522667,1.269524,352.787,17.56506,30.99613,9.162044,24.43744,0,1713.7
2007,12,24,0.383333,7.296,11.42418,357.556,15.09369,29.2851,10.46979,23.87588,0,773.2
2007,12,3,0.131,3.842,1.414443,359.8002,20.52049,33.79146,8.185393,42.60207,0,295.2
2007,1,24,0.619333,5.642667,1.374458,359.6733,16.90862,33.9799,6.992577,16.59637,0,222.2
