Year,Month,Day,Year-Month-Day,minWindSpeed,maxWindSpeed,minWindDirection,maxWindDirection,minAirTemperature,maxAirTemperature,minRelativeHumidity,maxRelativeHumidity,minLog(ParticleConcentration + 1),maxLog(ParticleConcentration + 1)
2006,10,1,2006-10-1,0.1973334,4.937666,0.03553811,359.7661,23.24449,30.76261,49.99495,90.55474,0,1.897627091
2006,10,10,2006-10-10,0.276,4.700667,1.801663,358.2732,25.99404,38.0552,27.14588,81.30442,0,1.896526217
2006,10,11,2006-10-11,0.2246666,4.151999,4.639274,359.6746,24.50299,39.71504,18.78751,77.70913,1.369215857,2.125481266
2006,10,12,2006-10-12,0.2866666,5.225334,3.346076,351.046,23.63394,37.42974,29.46023,84.22615,1.117271296,1.788168371
2006,10,13,2006-10-13,0.4023333,5.172333,3.341348,359.185,24.95716,36.13156,34.2431,76.52341,0.255272505,1.912753304
2006,10,14,2006-10-14,0.1293333,3.866667,0.2333075,356.0748,24.81501,37.16244,24.03873,80.54172,1.474216264,2.135132651
2006,10,15,2006-10-15,0.245,3.697334,2.488879,339.8548,23.51205,38.84885,14.84871,89.97462,0.491361694,1.80685803
2006,10,16,2006-10-16,0.197,3.567333,0.2159738,355.5946,23.20033,38.76155,23.00032,76.62316,1.387389826,2.009025742
2006,10,17,2006-10-17,0.196,4.914666,3.321808,357.6191,25.48402,38.73703,26.37771,77.76063,1.774516966,2.215108581
2006,10,18,2006-10-18,0.3216667,5.953334,1.12356,358.5215,26.31308,39.94129,20.54417,70.63975,1.63447727,2.249198357
2006,10,19,2006-10-19,0.219,6.374,16.31431,357.082,26.84782,35.32259,37.70663,66.51485,1.193124598,2.011993115
2006,10,2,2006-10-2,0.2766666,35.14033,20.62193,284.42,24.23977,33.05229,46.80248,91.16856,0.041392685,1.626340367
2006,10,20,2006-10-20,0.202,4.869333,2.031046,359.5976,24.83134,38.13064,24.29881,70.47511,0.875061263,2.731749884
2006,10,21,2006-10-21,0.1856667,4.209,5.074983,359.3105,25.40613,39.56126,13.7031,69.18008,0.380211242,2.266231697
2006,10,22,2006-10-22,0.7653333,5.159334,0.7753896,343.0987,23.79914,39.71668,17.03242,77.48233,0.908485019,2.191451014
2006,10,23,2006-10-23,0.2056666,4.012333,19.62913,356.8453,23.35754,39.2555,14.02036,75.55921,0.755874856,2.212720154
2006,10,24,2006-10-24,0.6976666,5.331666,36.99573,321.1945,24.85261,39.07917,19.33238,81.13818,0.602059991,2.121887985
2006,10,25,2006-10-25,0.1896667,4.276667,14.26596,332.3589,24.62733,38.5584,15.94557,79.19424,0.447158031,2.181557774
2006,10,26,2006-10-26,0.1493333,3.336667,6.290761,357.8496,24.28662,38.98795,18.0374,69.04599,0.278753601,2.223495941
2006,10,27,2006-10-27,0.127,4.368334,4.548676,278.7471,23.5733,37.20767,23.56808,75.44943,0.380211242,2.16879202
2006,10,28,2006-10-28,0.408,5.674999,5.746794,358.9561,25.05809,38.24618,13.5113,65.16753,0.643452676,2.269746373
2006,10,29,2006-10-29,0.1836667,6.096,0.217123,355.442,22.68456,38.41397,11.24044,54.09465,1.021189299,2.431363764
2006,10,3,2006-10-3,0.25,3.332,0.524232,359.313,24.50106,36.56421,35.71222,86.24654,0.079181246,1.998259338
2006,10,30,2006-10-30,0.1393333,4.458,0.4671277,359.3917,21.01841,38.34,9.844887,50.18528,0.414973348,2.461348434
2006,10,31,2006-10-31,0.1343333,3.603,2.178498,356.7388,19.15561,37.454,10.63849,45.15255,0,2.445759836
2006,10,4,2006-10-4,0.6963333,5.071668,164.3064,311.9527,25.06771,35.84722,39.30889,86.54517,0.51851394,1.984077034
2006,10,5,2006-10-5,0.9246666,5.234333,118.3283,284.768,25.21601,35.38436,36.80349,85.50887,0.230448921,2.105169428
2006,10,6,2006-10-6,0.2253333,3.813,98.53744,356.0087,24.67724,36.1251,33.57277,83.01103,0.491361694,1.945960704
2006,10,7,2006-10-7,0.269,8.044001,6.394841,358.0115,24.52793,36.41946,28.58284,78.16118,0.079181246,2.135768515
2006,10,8,2006-10-8,0.187,6.934668,2.183187,358.5812,26.27685,36.17338,35.11831,79.25992,0.041392685,2.412292509
2006,10,9,2006-10-9,0.412,4.031333,12.70423,356.2286,25.61502,36.92074,34.50547,86.33842,0.041392685,2.174350597
2006,1,1,2006-1-1,0.128,5.055,2.050986,357.657,16.65897,34.64911,8.216987,23.27128,1.394451681,1.982271233
