Year.Month.Day,Year-Month-Day,PC95,Year,Month,Day
2006-01-01,2006-1-1,79.75,2006,1,1
2006-01-10,2006-1-10,77.165,2006,1,10
2006-01-11,2006-1-11,86.15,2006,1,11
2006-01-12,2006-1-12,198.545,2006,1,12
2006-01-13,2006-1-13,213.15,2006,1,13
2006-01-14,2006-1-14,170.415,2006,1,14
2006-01-15,2006-1-15,556.815,2006,1,15
2006-01-16,2006-1-16,140.23,2006,1,16
2006-01-17,2006-1-17,218.325,2006,1,17
2006-01-18,2006-1-18,298.1,2006,1,18
2006-01-19,2006-1-19,210.85,2006,1,19
2006-01-02,2006-1-2,221.2,2006,1,2
2006-01-20,2006-1-20,355.505,2006,1,20
2006-01-21,2006-1-21,303.055,2006,1,21
2006-01-22,2006-1-22,196.53,2006,1,22
2006-01-23,2006-1-23,63.615,2006,1,23
2006-01-24,2006-1-24,106.765,2006,1,24
2006-01-25,2006-1-25,283.095,2006,1,25
2006-01-26,2006-1-26,235.365,2006,1,26
2006-01-27,2006-1-27,233.045,2006,1,27
2006-01-28,2006-1-28,161.225,2006,1,28
2006-01-29,2006-1-29,194.115,2006,1,29
2006-01-03,2006-1-3,133.92,2006,1,3
2006-01-30,2006-1-30,307.295,2006,1,30
2006-01-31,2006-1-31,222.265,2006,1,31
2006-01-04,2006-1-4,78.245,2006,1,4
2006-01-05,2006-1-5,81.07,2006,1,5
2006-01-06,2006-1-6,98.155,2006,1,6
2006-01-07,2006-1-7,83.795,2006,1,7
2006-01-08,2006-1-8,75.125,2006,1,8
2006-01-09,2006-1-9,67.375,2006,1,9
2006-10-01,2006-10-1,31.16,2006,10,1
2006-10-10,2006-10-10,53.865,2006,10,10
2006-10-11,2006-10-11,79.03,2006,10,11
2006-10-12,2006-10-12,44.895,2006,10,12
2006-10-13,2006-10-13,43.93,2006,10,13
2006-10-14,2006-10-14,66.96,2006,10,14
2006-10-15,2006-10-15,51.765,2006,10,15
2006-10-16,2006-10-16,87.055,2006,10,16
2006-10-17,2006-10-17,106.795,2006,10,17
2006-10-18,2006-10-18,120.695,2006,10,18
2006-10-19,2006-10-19,79.82,2006,10,19
2006-10-02,2006-10-2,25.13,2006,10,2
2006-10-20,2006-10-20,74.895,2006,10,20
2006-10-21,2006-10-21,110.93,2006,10,21
2006-10-22,2006-10-22,98.255,2006,10,22
2006-10-23,2006-10-23,93.205,2006,10,23
2006-10-24,2006-10-24,96.49,2006,10,24
2006-10-25,2006-10-25,83.035,2006,10,25
2006-10-26,2006-10-26,114.955,2006,10,26
2006-10-27,2006-10-27,112.865,2006,10,27
2006-10-28,2006-10-28,142.71,2006,10,28
2006-10-29,2006-10-29,173.385,2006,10,29
2006-10-03,2006-10-3,51.495,2006,10,3
2006-10-30,2006-10-30,176.495,2006,10,30
2006-10-31,2006-10-31,82.985,2006,10,31
2006-10-04,2006-10-4,64.015,2006,10,4
2006-10-05,2006-10-5,95.96,2006,10,5
2006-10-06,2006-10-6,60.065,2006,10,6
2006-10-07,2006-10-7,45.09,2006,10,7
2006-10-08,2006-10-8,196.605,2006,10,8
2006-10-09,2006-10-9,113.595,2006,10,9
2006-11-01,2006-11-1,43.83,2006,11,1
2006-11-10,2006-11-10,188.955,2006,11,10
2006-11-11,2006-11-11,194.19,2006,11,11
2006-11-12,2006-11-12,160.165,2006,11,12
2006-11-13,2006-11-13,135.625,2006,11,13
2006-11-14,2006-11-14,377.105,2006,11,14
2006-11-15,2006-11-15,164.09,2006,11,15
2006-11-16,2006-11-16,474.94,2006,11,16
2006-11-17,2006-11-17,445.555,2006,11,17
2006-11-18,2006-11-18,526.685,2006,11,18
2006-11-19,2006-11-19,275.98,2006,11,19
2006-11-02,2006-11-2,40.265,2006,11,2
2006-11-20,2006-11-20,468.485,2006,11,20
2006-11-21,2006-11-21,144.83,2006,11,21
2006-11-22,2006-11-22,219.51,2006,11,22
2006-11-23,2006-11-23,107.22,2006,11,23
2006-11-24,2006-11-24,123.26,2006,11,24
2006-11-25,2006-11-25,70.1,2006,11,25
2006-11-26,2006-11-26,98.13,2006,11,26
2006-11-27,2006-11-27,67.265,2006,11,27
2006-11-28,2006-11-28,67.695,2006,11,28
2006-11-29,2006-11-29,110.875,2006,11,29
2006-11-03,2006-11-3,37.76,2006,11,3
2006-11-30,2006-11-30,70.225,2006,11,30
2006-11-04,2006-11-4,54.265,2006,11,4
2006-11-05,2006-11-5,53.59,2006,11,5
2006-11-06,2006-11-6,48.21,2006,11,6
2006-11-07,2006-11-7,310.665,2006,11,7
2006-11-08,2006-11-8,391.88,2006,11,8
2006-11-09,2006-11-9,376.825,2006,11,9
2006-12-01,2006-12-1,108.43,2006,12,1
2006-12-10,2006-12-10,202.755,2006,12,10
2006-12-11,2006-12-11,1511.485,2006,12,11
2006-12-12,2006-12-12,2182.51,2006,12,12
2006-12-13,2006-12-13,1492.12,2006,12,13
2006-12-14,2006-12-14,364.635,2006,12,14
2006-12-15,2006-12-15,359.78,2006,12,15
2006-12-16,2006-12-16,293.465,2006,12,16
2006-12-17,2006-12-17,512.53,2006,12,17
2006-12-18,2006-12-18,357.83,2006,12,18
2006-12-19,2006-12-19,196.25,2006,12,19
2006-12-02,2006-12-2,513.965,2006,12,2
2006-12-20,2006-12-20,126.83,2006,12,20
2006-12-21,2006-12-21,189.885,2006,12,21
2006-12-22,2006-12-22,182.83,2006,12,22
2006-12-23,2006-12-23,70.765,2006,12,23
2006-12-24,2006-12-24,83.73,2006,12,24
2006-12-25,2006-12-25,75.53,2006,12,25
2006-12-26,2006-12-26,73.655,2006,12,26
2006-12-27,2006-12-27,136.125,2006,12,27
2006-12-28,2006-12-28,357.895,2006,12,28
2006-12-29,2006-12-29,2404.545,2006,12,29
2006-12-03,2006-12-3,615.465,2006,12,3
2006-12-30,2006-12-30,1158.445,2006,12,30
2006-12-04,2006-12-4,200.86,2006,12,4
2006-12-05,2006-12-5,122.855,2006,12,5
2006-12-06,2006-12-6,171.83,2006,12,6
2006-12-07,2006-12-7,141.765,2006,12,7
2006-12-08,2006-12-8,168.235,2006,12,8
2006-12-09,2006-12-9,102.68,2006,12,9
2006-02-01,2006-2-1,333.325,2006,2,1
2006-02-10,2006-2-10,435.88,2006,2,10
2006-02-11,2006-2-11,256.25,2006,2,11
2006-02-12,2006-2-12,205.07,2006,2,12
2006-02-13,2006-2-13,165.375,2006,2,13
2006-02-14,2006-2-14,162.37,2006,2,14
2006-02-15,2006-2-15,185.155,2006,2,15
2006-02-16,2006-2-16,1121.54,2006,2,16
2006-02-17,2006-2-17,2172.775,2006,2,17
2006-02-18,2006-2-18,3462.86,2006,2,18
2006-02-19,2006-2-19,590.81,2006,2,19
2006-02-02,2006-2-2,147.1,2006,2,2
2006-02-20,2006-2-20,127.965,2006,2,20
2006-02-21,2006-2-21,86.1,2006,2,21
2006-02-22,2006-2-22,78.065,2006,2,22
2006-02-23,2006-2-23,249.745,2006,2,23
2006-02-24,2006-2-24,682.16,2006,2,24
2006-02-25,2006-2-25,79.98,2006,2,25
2006-02-26,2006-2-26,61.365,2006,2,26
2006-02-27,2006-2-27,56.105,2006,2,27
2006-02-28,2006-2-28,67.665,2006,2,28
2006-02-03,2006-2-3,434.295,2006,2,3
2006-02-04,2006-2-4,273.63,2006,2,4
2006-02-05,2006-2-5,258.7,2006,2,5
2006-02-06,2006-2-6,186.02,2006,2,6
2006-02-07,2006-2-7,110.46,2006,2,7
2006-02-08,2006-2-8,116.925,2006,2,8
2006-02-09,2006-2-9,538.25,2006,2,9
2006-03-01,2006-3-1,164.895,2006,3,1
2006-03-10,2006-3-10,1419.01,2006,3,10
2006-03-11,2006-3-11,950.325,2006,3,11
2006-03-12,2006-3-12,440.74,2006,3,12
2006-03-13,2006-3-13,281.055,2006,3,13
2006-03-14,2006-3-14,188.76,2006,3,14
2006-03-15,2006-3-15,284.46,2006,3,15
2006-03-16,2006-3-16,382.42,2006,3,16
2006-03-17,2006-3-17,128.62,2006,3,17
2006-03-18,2006-3-18,333.78,2006,3,18
2006-03-19,2006-3-19,227.155,2006,3,19
2006-03-02,2006-3-2,226.725,2006,3,2
2006-03-20,2006-3-20,271.665,2006,3,20
2006-03-21,2006-3-21,380.725,2006,3,21
2006-03-22,2006-3-22,325.475,2006,3,22
2006-03-23,2006-3-23,308.93,2006,3,23
2006-03-24,2006-3-24,87.365,2006,3,24
2006-03-25,2006-3-25,488.705,2006,3,25
2006-03-26,2006-3-26,310.35,2006,3,26
2006-03-27,2006-3-27,227.61,2006,3,27
2006-03-28,2006-3-28,355.385,2006,3,28
2006-03-29,2006-3-29,389.475,2006,3,29
2006-03-03,2006-3-3,192.5,2006,3,3
2006-03-30,2006-3-30,1276.615,2006,3,30
2006-03-31,2006-3-31,669.255,2006,3,31
2006-03-04,2006-3-4,188.505,2006,3,4
2006-03-05,2006-3-5,167.095,2006,3,5
2006-03-06,2006-3-6,142.765,2006,3,6
2006-03-07,2006-3-7,2469.27,2006,3,7
2006-03-08,2006-3-8,3849.585,2006,3,8
2006-03-09,2006-3-9,4100.96,2006,3,9
2006-04-01,2006-4-1,677.475,2006,4,1
2006-04-10,2006-4-10,314.355,2006,4,10
2006-04-11,2006-4-11,688.455,2006,4,11
2006-04-12,2006-4-12,487.59,2006,4,12
2006-04-13,2006-4-13,336.045,2006,4,13
2006-04-14,2006-4-14,224.33,2006,4,14
2006-04-15,2006-4-15,190.625,2006,4,15
2006-04-16,2006-4-16,305.955,2006,4,16
2006-04-17,2006-4-17,911.96,2006,4,17
2006-04-18,2006-4-18,867.305,2006,4,18
2006-04-19,2006-4-19,764.555,2006,4,19
2006-04-02,2006-4-2,836.28,2006,4,2
2006-04-20,2006-4-20,469.98,2006,4,20
2006-04-21,2006-4-21,413.13,2006,4,21
2006-04-22,2006-4-22,384.98,2006,4,22
2006-04-23,2006-4-23,279.78,2006,4,23
2006-04-24,2006-4-24,437.07,2006,4,24
2006-04-25,2006-4-25,462.39,2006,4,25
2006-04-26,2006-4-26,125.45,2006,4,26
2006-04-27,2006-4-27,111.21,2006,4,27
2006-04-28,2006-4-28,111.605,2006,4,28
2006-04-29,2006-4-29,93.73,2006,4,29
2006-04-03,2006-4-3,603.62,2006,4,3
2006-04-30,2006-4-30,158.835,2006,4,30
2006-04-04,2006-4-4,454.85,2006,4,4
2006-04-05,2006-4-5,248.485,2006,4,5
2006-04-06,2006-4-6,216.175,2006,4,6
2006-04-07,2006-4-7,504.145,2006,4,7
2006-04-08,2006-4-8,510.225,2006,4,8
2006-04-09,2006-4-9,238.1,2006,4,9
2006-05-01,2006-5-1,115.39,2006,5,1
2006-05-10,2006-5-10,407.935,2006,5,10
2006-05-11,2006-5-11,162.45,2006,5,11
2006-05-12,2006-5-12,216.375,2006,5,12
2006-05-13,2006-5-13,306.545,2006,5,13
2006-05-14,2006-5-14,530.54,2006,5,14
2006-05-15,2006-5-15,228.675,2006,5,15
2006-05-16,2006-5-16,174.2,2006,5,16
2006-05-17,2006-5-17,62.865,2006,5,17
2006-05-18,2006-5-18,601.65,2006,5,18
2006-05-19,2006-5-19,124.085,2006,5,19
2006-05-02,2006-5-2,358.615,2006,5,2
2006-05-20,2006-5-20,251.82,2006,5,20
2006-05-21,2006-5-21,88.655,2006,5,21
2006-05-22,2006-5-22,140.525,2006,5,22
2006-05-23,2006-5-23,133.565,2006,5,23
2006-05-24,2006-5-24,103.12,2006,5,24
2006-05-25,2006-5-25,1051.5,2006,5,25
2006-05-26,2006-5-26,70.955,2006,5,26
2006-05-27,2006-5-27,203.715,2006,5,27
